Okla.	1	1	7	11	22	-	0	23	-	-	2	7	26	49	50						
Tex.	-	11	39	-	177	-	0	8	-	-	2	44	695	259	199						
MOUNTAIN	-	4	19	16	40	-	0	4	-	15	37	50	112	390	358						
Ariz.	-	2	11	16	34	-	0	4	-	12	11	13	28	125	120						
Colo.	-	0	2	-	-	-	0	1	-	-	20	10	45	114	87						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	15	20						
Mont.	-	0	3	-	-	-	0	1	-	-	1	2	16	19	18						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	22	36						
N. Mex.	-	0	1	-	1	-	0	1	-	-	-	4	14	29	34						
Utah	-	0	5	-	-	-	0	1	-	2	3	5	31	52	35						
Wyo.	-	0	2	-	5	-	0	1	-	1	2	1	12	14	8						
PACIFIC	7	4	15	22	24	-	0	2	-	2	56	99	407	784	983						
Alaska	-	0	3	5	1	-	0	0	-	-	2	1	5	21	12						
Calif.	7	3	15	17	23	-	0	1	-	2	48	76	282	612	776						
Hawaii	-	0	0	-	-	-	0	0	-	-	1	5	15	43	69						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	8	25	52	66						
Wash.	U	0	0	U	U	N	0	0	N	N	5	8	116	56	60						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	2	2	4	26	18	N	0	0	N	N	2	7	23	10	77						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


