
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending July 21, 2007 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
HIV infection, pediatric (age &lt;13 yrs) ††	-	-	4	52	380	436	504	420		
Influenza-associated pediatric mortality §, §§	1	68	0	41	45	-	N	N	WI (1 )	
Listeriosis	11	286	21	875	896	753	696	665	NY (1 ), PA (1 ), OH (1 ), MI (1 ), KS (1 ), MD (1 ), OK (1 ), TX (3 ), AZ (1 )	
Measles ¶¶	-	21	2	55	66	37	56	44		
Meningococcal disease, invasive *** :										
A,C,Y, and W-135	2	156	3	311	297	-	-	-	AR (1 ), CO (1 )	
serogroup B	1	73	3	190	156	-	-	-	WA (1 )	
other serogroup	1	13	0	31	27	-	-	-	CT (1 )	
unknown serogroup	6	371	9	648	765	-	-	-	PA (2 ), OH (1 ), NC (1 ), FL (1 ), OR (1 )	
Mumps	7	492	13	6,584	314	258	231	270	PA (1 ), OH (2 ), KS (1 ), AZ (1 ), WA (2 )	
Novel influenza A infection virus	-	-	-	N	N	N	N	N		
Plague	-	4	0	17	8	3	1	2		
Poliomyelitis, paralytic	-	-	-	-	1	-	-	-		
Poliovirus infection, nonparalytic §	-	-	-	N	N	N	N	N		
Psittacosis §	-	2	0	21	16	12	12	18		
Q fever §	2	103	3	169	136	70	71	61	MN (1 ), MO (1 )	
Rabies, human	-	-	0	3	2	7	2	3		
Rubella †††	-	9	0	11	11	10	7	18		
Rubella, congenital syndrome	-	-	-	1	1	-	1	1		
SARS CoV §, §§§	-	-	-	-	-	-	8	N		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	64	1	125	129	132	161	118		
Syphilis, congenital (age &lt;1 yr)	6	171	8	380	329	353	413	412	MI (6 )	
Tetanus	-	7	1	41	27	34	20	25		
Toxic-shock syndrome (staphylococcal) §	2	43	1	101	90	95	133	109	NE (1 ), ID (1 )	
Trichinellosis	-	4	0	15	16	5	6	14		
Tularemia	4	45	4	95	154	134	129	90	NC (1 ), OK (1 ), WY (1 ), CA (1 )	
Typhoid fever	2	141	8	353	324	322	356	321	TX (1 ), CA (1 )	
Vancomycin-intermediate Staphylococcus aureus §	-	6	0	6	2	-	N	N		
Vancomycin-resistant Staphylococcus aureus §	-	-	-	1	3	1	N	N		
Vibriosis (non-cholera Vibrio species infections) §	4	98	4	N	N	N	N	N	MD (2 ), FL (2 )	
Yellow fever	-	-	-	-	-	-	-	1		

-: No reported cases
N: Not notifiable
Cum: Cumulative year-to-date counts.

* Incidence data for reporting years 2006 and 2007 are provisional, whereas data for 
2002, 2003, 2004, and 2005 are finalized.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatic mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and non-neuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** Data for H. influenzae (all ages, all serotypes) are available in Table II.

†† Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV/AIDS, 
Viral Hepatitis, STD, and TB Prevention. Implementation of HIV reporting influences the 
number of cases reported. Updates of pediatric HIV data have been temporarily suspended until upgrading 
of the national HIV/ AIDS surveillance data management system is completed. Data for HIV/AIDS usually are 
available quarterly in Table IV.

§§ Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

*** Data for meningococcal disease (all serogroups) are available in Table II.

††† Please refer to the MMWR publication for weekly updates to the footnote for this condition.

§§§ Updated weekly from reports to the Division of Viral and Rickettsial Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


