
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending July 7, 2007 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
Listeriosis	10	257	18	875	896	753	696	665	NY (1 ), PA (2 ), MI (1 ), NC (3 ), TN (1 ), WA (1 ), CA (1 )	
Measles ¶¶	1	20	2	56	66	37	56	44	IN (1 )	
Meningococcal disease, invasive *** :										
A,C,Y, and W-135	-	146	3	311	297	-	-	-		
serogroup B	3	67	3	190	156	-	-	-	OK (3 )	
other serogroup	-	11	0	31	27	-	-	-		
unknown serogroup	11	358	10	649	765	-	-	-	NY (2 ), PA (1 ), NC (1 ), FL (5 ), AZ (1 ), OR (1 )	
Mumps	3	464	16	6,584	314	258	231	270	FL (1 ), CO (1 ), WA (1 )	
Novel influenza A infection virus	-	-	-	N	N	N	N	N		
Plague	-	4	0	17	8	3	1	2		
Poliomyelitis, paralytic	-	-	-	-	1	-	-	-		
Poliovirus infection, nonparalytic §	-	-	-	N	N	N	N	N		
Psittacosis §	-	2	0	21	16	12	12	18		
Q fever §	2	93	3	169	136	70	71	61	NY (1 ), CO (1 )	
Rabies, human	-	-	0	3	2	7	2	3		
Rubella †††	-	10	0	10	11	10	7	18		
Rubella, congenital syndrome	-	-	-	1	1	-	1	1		
SARS CoV §, §§§	-	-	-	-	-	-	8	N		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	2	62	2	125	129	132	161	118	MI (1 ), NC (1 )	
Syphilis, congenital (age &lt;1 yr)	-	142	8	380	329	353	413	412		
Tetanus	-	6	1	41	27	34	20	25		
Toxic-shock syndrome (staphylococcal) §	1	40	2	101	90	95	133	109	NC (1 )	
Trichinellosis	-	4	0	15	16	5	6	14		
Tularemia	3	35	5	95	154	134	129	90	MO (1 ), NE (1 ), TN (1 )	
Typhoid fever	-	134	7	353	324	322	356	321		
Vancomycin-intermediate Staphylococcus aureus §	-	5	-	6	2	-	N	N		
Vancomycin-resistant Staphylococcus aureus §	-	-	-	1	3	1	N	N		
Vibriosis (non-cholera Vibrio species infections) §	4	92	2	N	N	N	N	N	NY (1 ), MD (1 ), FL (1 ), AZ (1 )	
Yellow fever	-	-	-	-	-	-	-	1		

-: No reported cases
N: Not notifiable
Cum: Cumulative year-to-date counts.

* Incidence data for reporting years 2006 and 2007 are provisional, whereas data for 
2002, 2003, 2004, and 2005 are finalized.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatic mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and non-neuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** Data for H. influenzae (all ages, all serotypes) are available in Table II.

†† Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV/AIDS, 
Viral Hepatitis, STD, and TB Prevention. Implementation of HIV reporting influences the 
number of cases reported. Updates of pediatric HIV data have been temporarily suspended until upgrading 
of the national HIV/ AIDS surveillance data management system is completed. Data for HIV/AIDS usually are 
available quarterly in Table IV.

§§ Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

*** Data for meningococcal disease (all serogroups) are available in Table II.

††† Please refer to the MMWR publication for weekly updates to the footnote for this condition.

§§§ Updated weekly from reports to the Division of Viral and Rickettsial Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


