
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending January 26, 2013 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2013
Shigellosis cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2012
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2013
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2012

tab delimited data:
test
UNITED STATES	204	255	486	1,242	1,482	6	20	35	41	103	85	288	366	537	1,039						
W.N. CENTRAL	5	13	24	28	78	1	1	4	3	7	-	7	14	8	29						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	2	3						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	4	-	1						
Minn.	-	9	22	-	50	-	0	3	-	3	-	2	5	-	7						
Mo.	N	0	0	N	N	-	0	0	-	-	-	2	7	5	18						
Nebr.	4	2	8	13	19	1	0	2	3	1	-	0	2	1	-						
N. Dak.	-	0	4	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	1	2	6	15	8	-	0	2	-	3	-	0	2	-	-						
S. ATLANTIC	59	56	110	366	327	2	4	11	20	21	27	65	103	120	223						
Del.	-	0	3	1	6	-	0	1	-	-	-	0	6	2	4						
D.C.	-	0	4	-	3	-	0	1	-	1	-	3	10	11	19						
Fla.	28	18	59	161	115	-	1	6	8	8	4	25	36	39	100						
Ga.	8	15	42	77	85	1	2	4	5	2	9	12	31	27	29						
Md.	11	6	23	51	35	1	0	5	2	2	9	7	15	22	16						
N.C.	N	0	0	N	N	N	0	0	N	N	-	5	21	-	23						
S.C.	9	6	17	57	56	-	0	3	1	2	5	4	9	13	21						
Va.	N	0	0	N	N	-	0	2	2	3	-	3	40	6	11						
W. Va.	3	5	33	19	27	-	0	2	2	3	-	0	2	-	-						
E.S. CENTRAL	26	22	56	141	150	2	2	5	7	10	3	15	25	9	44						
Ala.	3	2	8	19	7	-	0	3	2	-	-	4	10	-	16						
Ky.	3	4	11	29	23	-	0	1	-	-	3	2	9	4	4						
Miss.	4	3	12	20	15	1	0	2	1	1	-	3	12	5	7						
Tenn.	16	12	37	73	105	1	0	3	4	9	-	5	14	-	17						
W.S. CENTRAL	32	26	224	108	130	-	2	13	1	11	14	43	66	119	159						
Ark.	6	3	21	17	16	-	0	3	-	2	1	3	13	11	31						
La.	-	4	12	14	29	-	0	4	1	2	1	6	19	9	19						
Okla.	N	0	0	N	N	-	0	0	-	-	1	1	5	3	5						
Tex.	26	20	203	77	85	-	2	13	-	7	11	33	47	96	104						
MOUNTAIN	31	28	53	131	189	-	2	7	-	12	3	12	25	19	41						
Ariz.	17	9	22	42	91	-	1	3	-	6	-	4	8	2	17						
Colo.	6	8	22	40	32	-	0	3	-	1	-	4	12	8	11						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	4	-	1						
Mont.	-	0	4	2	9	-	0	1	-	-	-	0	1	-	-						
Nev.	4	1	8	15	13	-	0	2	-	2	3	2	8	8	7						
N. Mex.	3	5	15	30	26	-	0	4	-	2	-	1	5	-	3						
Utah	-	3	7	-	18	-	0	3	-	1	-	0	2	1	2						
Wyo.	1	0	3	2	-	-	0	1	-	-	-	0	1	-	-						
PACIFIC	-	4	10	9	13	-	0	2	1	5	23	67	99	152	246						
Alaska	-	3	8	9	8	-	0	2	1	5	2	0	2	2	1						
Calif.	N	0	0	N	N	N	0	0	N	N	19	56	82	130	208						
Hawaii	-	1	6	-	5	-	0	1	-	-	-	0	2	-	1						
Oreg.	N	0	0	N	N	N	0	0	N	N	2	3	11	12	10						
Wash.	N	0	0	N	N	N	0	0	N	N	-	4	10	8	26						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	2	6	17	18	14						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


