
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending February 11, 2012 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2011
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2011
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2012
Syphillis, primary & secondary cummulative for 2011

tab delimited data:
test
UNITED STATES	190	252	464	1,596	2,174	15	21	41	110	124	77	265	308	792	1,410						
MOUNTAIN	12	26	72	159	305	-	2	8	11	20	1	12	20	24	65						
Ariz.	11	12	45	112	163	-	1	5	7	9	-	4	10	9	21						
Colo.	-	9	23	18	66	-	0	4	1	4	-	2	6	7	13						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	4	2	3						
Mont.	N	0	0	N	N	N	0	0	N	N	-	0	1	-	3						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	9	-	16						
N. Mex.	1	4	12	26	42	-	0	2	3	3	1	1	4	3	5						
Utah	-	1	8	-	29	-	0	3	-	4	-	0	2	3	4						
Wyo.	-	0	3	3	5	-	0	0	-	-	-	0	0	-	-						
PACIFIC	2	2	11	13	23	-	0	2	6	1	11	57	74	189	348						
Alaska	2	2	11	13	23	-	0	2	6	1	-	0	2	2	-						
Calif.	N	0	0	N	N	N	0	0	N	N	5	44	62	157	284						
Hawaii	-	0	1	-	-	-	0	1	-	-	-	0	3	-	-						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	4	14	9	21						
Wash.	N	0	0	N	N	N	0	0	N	N	5	5	11	21	43						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	6	5	15	25	21						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2011 and 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


