
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 21, 2006 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	29	104	160	76	420	47	30	98	124	30	259	793	1,431	879	1,229						
S. ATLANTIC	10	30	49	32	292	47	15	94	123	24	129	252	514	380	358						
Del.	-	0	0	-	-	-	0	2	-	-	-	2	9	1	2						
D.C.	-	0	0	-	-	-	0	1	-	-	1	1	7	1	-						
Fla.	2	0	0	2	201	1	0	1	1	2	60	99	230	155	136						
Ga.	-	5	9	-	18	1	1	9	3	-	16	30	83	51	64						
Md.	-	6	16	5	18	2	2	7	3	1	13	14	39	32	27						
N.C.	2	9	19	12	20	43	5	87	115	21	39	26	114	129	97						
S.C.	-	0	2	-	2	-	1	6	1	-	-	19	146	11	22						
Va.	6	10	18	13	32	-	1	10	-	-	-	19	66	-	10						
W. Va.	-	0	13	-	1	-	0	2	-	-	-	2	13	-	-						
E.S. CENTRAL	-	2	9	1	1	-	4	25	1	1	1	52	134	40	52						
Ala.	-	1	5	1	1	-	0	9	-	-	-	12	39	18	14						
Ky.	-	0	3	-	-	-	0	1	-	-	1	6	28	6	5						
Miss.	-	0	1	-	-	-	0	2	-	-	-	13	66	-	9						
Tenn.	-	1	3	-	-	-	3	19	1	1	-	14	40	16	24						
W.S. CENTRAL	2	14	42	3	37	-	1	32	-	1	12	66	140	53	71						
Ark.	-	0	3	1	6	-	0	32	-	-	9	12	67	14	11						
La.	-	0	0	-	-	-	0	2	-	1	-	14	42	4	28						
Okla.	2	1	7	2	4	-	0	23	-	-	3	7	26	12	4						
Tex.	-	12	39	-	27	-	0	7	-	-	-	32	84	23	28						
MOUNTAIN	-	5	19	5	6	-	0	8	-	-	15	48	110	29	89						
Ariz.	-	3	11	5	4	-	0	8	-	-	-	13	28	-	31						
Colo.	-	0	2	-	-	-	0	1	-	-	14	10	45	20	23						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	4	6						
Mont.	-	0	3	-	-	-	0	1	-	-	1	2	16	3	3						
Nev.	-	0	2	-	-	-	0	0	-	-	-	2	7	-	9						
N. Mex.	-	0	1	-	1	-	0	1	-	-	-	4	11	-	8						
Utah	-	0	5	-	-	-	0	2	-	-	-	6	31	1	6						
Wyo.	-	0	2	-	1	-	0	1	-	-	-	1	12	1	3						
PACIFIC	2	3	14	2	3	-	0	2	-	-	48	99	188	150	250						
Alaska	-	0	1	-	-	-	0	0	-	-	1	1	5	8	4						
Calif.	2	3	14	2	3	-	0	1	-	-	42	75	148	124	186						
Hawaii	-	0	0	-	-	-	0	0	-	-	2	5	33	11	46						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	7	23	4	12						
Wash.	U	0	0	U	U	-	0	0	-	-	3	9	31	3	2						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	2	4	1	4	N	0	0	N	N	-	8	23	-	11						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


