
TABLE I.  Provisional cases of infrequently reported notifiable diseases (<1,000 cases reported during the preceding year), United States, week ending March 10, 2007 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Disease
Current week
Cummulative for 2007
5-year weekly average†
Total cases reported for year 2006
Total cases reported for year 2005
Total cases reported for year 2004
Total cases reported for year 2003
Total cases reported for year 2002
States reporting cases during current week (No.)

tab delimited data:
test
Anthrax	-	-	0	1	-	-	-	2		
other serogroup	-	4	1	24	27	-	-	-		
unknown serogroup	10	120	23	721	765	-	-	-	NY (1 ), NYC (1 ), PA (1 ), OH (1 ), MN (2 ), FL (2 ), TN (1 ), WA (1 )	
Mumps	14	134	20	6,504	314	258	231	270	NY (1 ), PA (3 ), MO (1 ), KS (3 ), FL (2 ), AZ (1 ), WA (2 ), CA (1 )	
Plague	-	-	0	16	8	3	1	2		
Poliomyelitis, paralytic	-	-	-	-	1	-	-	-		
Poliovirus infection, nonparalytic §	-	-	-	N	N	N	N	N		
Psittacosis §	-	3	0	20	16	12	12	18		
Q fever §	-	19	1	164	136	70	71	61		
Rabies, human	-	-	-	3	2	7	2	3		
Rubella †††	-	5	0	8	11	10	7	18		
Rubella, congenital syndrome	-	-	0	1	1	-	1	1		
SARS CoV §, §§§	-	-	0	-	-	-	8	N		
Smallpox §	-	-	-	-	-	-	-	-		
Streptococcal toxic-shock syndrome §	-	9	4	101	129	132	161	118		
Syphilis, congenital (age &lt;1 yr)	-	25	7	323	329	353	413	412		
Tetanus	-	1	0	32	27	34	20	25		
Toxic-shock syndrome (staphylococcal) §	2	11	3	112	90	95	133	109	NY (1 ), PA (1 )	
Trichinellosis	-	1	0	14	16	5	6	14		
Tularemia	-	2	0	85	154	134	129	90		
Typhoid fever	2	41	5	307	324	322	356	321	MN (1 ), UT (1 )	
Vancomycin-intermediate Staphylococcus aureus §	-	-	0	4	2	-	N	N		
Vancomycin-resistant Staphylococcus aureus §	-	-	-	1	3	1	N	N		
Vibriosis (non-cholera Vibrio species infections) §	1	17	-	N	N	N	N	N	FL (1 )	
Yellow fever	-	-	-	-	-	-	-	1		

-: No reported cases
N: Not notifiable
Cum: Cumulative year-to-date counts.

* Incidence data for reporting years 2006 and 2007 are provisional, whereas data for 
2002, 2003, 2004, and 2005 are finalized.

† Calculated by summing the incidence counts for the current week, the 2 weeks preceding the current week, and the 2 weeks 
following the current week, for a total of 5 preceding years.  Additional information is available at 
http://wwwn.cdc.gov/nndss/document/5yearweeklyaverage.pdf.

§ Not notifiable in all states.  Data from states where the condition is not notifiable are excluded from this table, 
except starting in 2007 for the Arboviral diseases and influenza-associated pediatic mortality, and in 2003 for 
SARS-CoV.  Reporting exceptions are available at http://wwwn.cdc.gov/nndss/document/SRCA_FINAL_REPORT_2006-2010.xlsx.

¶ Includes both neuroinvasive and non-neuroinvasive. Updated weekly from reports to the Division of Vector-Borne Infectious 
Diseases, National Center for Zoonotic, Vector-Borne, and Enteric Diseases (ArboNET Surveillance). Data for 
West Nile virus are available in Table II.

** Data for H. influenzae (all ages, all serotypes) are available in Table II.

†† Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV/AIDS, 
Viral Hepatitis, STD, and TB Prevention. Implementation of HIV reporting influences the 
number of cases reported. Updates of pediatric HIV data have been temporarily suspended until upgrading 
of the national HIV/ AIDS surveillance data management system is completed. Data for HIV/AIDS usually are 
available quarterly in Table IV.

§§ Updated weekly from reports to the Influenza Division, National Center for Immunization and Respiratory 
Diseases. Please refer to the MMWR publication for weekly updates to the footnote for this condition.

¶¶ Please refer to the MMWR publication for weekly updates to the footnote for this condition.

*** Data for meningococcal disease (all serogroups) are available in Table II.

††† Please refer to the MMWR publication for weekly updates to the footnote for this condition.

§§§ Updated weekly from reports to the Division of Viral and Rickettsial Diseases, National Center for Zoonotic, 
Vector-Borne, and Enteric Diseases.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


