
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending November 17, 2007 (WEEK 46)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2007
Pertussis cummulative for 2006
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2007
Rabies, animal cummulative for 2006
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2007
Rocky Mountain Spotted Fever cummulative for 2006

tab delimited data:
test
UNITED STATES	66	172	1,479	7,643	12,596	37	101	177	4,894	5,079	21	32	211	1,818	1,962						
Mich.	-	7	18	254	559	1	1	27	179	46	-	0	1	4	4						
Ohio	5	13	54	594	541	-	1	11	76	54	-	0	2	10	26						
Wis.	-	3	24	199	202	N	0	0	N	N	-	0	0	-	1						
W.N. CENTRAL	5	13	151	594	1,142	-	5	13	244	290	-	5	32	374	192						
Iowa	-	2	16	122	284	-	0	3	30	57	-	0	4	14	5						
Kans.	-	3	12	122	277	-	2	7	101	71	-	0	1	1	1						
Minn.	-	0	119	157	161	-	0	5	32	38	-	0	1	1	3						
Mo.	2	1	9	72	285	-	0	3	39	63	-	4	26	340	158						
Nebr.	3	1	12	59	90	-	0	0	-	-	-	0	2	14	25						
N. Dak.	-	0	18	8	25	-	0	6	21	24	-	0	0	-	-						
S. Dak.	-	1	7	54	20	-	0	2	21	37	-	0	1	4	-						
S. ATLANTIC	13	16	163	836	1,005	15	40	76	1,897	2,110	20	12	112	882	1,094						
Del.	-	0	2	11	3	-	0	0	-	-	-	0	2	14	21						
D.C.	-	0	1	2	6	-	0	0	-	-	-	0	1	1	1						
Fla.	4	4	18	198	192	-	0	29	110	176	-	0	4	21	14						
Ga.	-	0	4	27	92	12	3	34	246	244	1	0	5	35	51						
Md.	2	2	8	107	133	-	7	18	327	385	1	1	7	60	77						
N.C.	6	3	112	288	177	3	9	19	447	479	18	4	96	563	794						
S.C.	-	2	9	66	172	-	0	11	46	160	-	1	7	60	38						
Va.	1	2	11	108	187	-	13	31	646	568	-	2	11	123	95						
W. Va.	-	0	19	29	43	-	0	11	75	98	-	0	3	5	3						
E.S. CENTRAL	1	6	32	369	323	-	3	9	140	231	-	4	16	241	356						
Ala.	-	2	18	79	81	-	0	2	-	78	-	1	9	82	84						
Ky.	-	0	4	22	56	-	0	3	18	27	-	0	2	5	3						
Miss.	-	1	29	194	34	-	0	1	1	4	-	0	2	14	8						
Tenn.	1	1	7	74	152	-	3	7	121	122	-	2	10	140	261						
W.S. CENTRAL	1	19	226	833	785	1	1	27	74	917	1	1	168	173	114						
Ark.	1	1	17	133	86	1	0	5	29	31	1	0	53	91	51						
La.	-	0	1	14	24	-	0	1	-	6	-	0	1	2	5						
Okla.	-	0	36	6	19	-	0	22	45	60	-	0	108	47	29						
Tex.	-	16	174	680	656	-	0	20	-	820	-	0	7	33	29						
MOUNTAIN	10	22	61	1,004	2,317	-	3	14	208	207	-	0	4	33	46						
Ariz.	-	4	13	182	478	-	2	12	144	134	-	0	1	7	11						
Colo.	5	6	14	271	680	-	0	0	-	-	-	0	2	4	4						
Idaho	-	0	5	34	83	-	0	0	-	24	-	0	1	4	14						
Mont.	-	0	7	38	113	-	0	3	18	15	-	0	1	1	2						
Nev.	-	0	5	12	66	-	0	1	2	5	-	0	0	-	-						
N. Mex.	-	1	7	65	127	-	0	2	10	10	-	0	1	4	8						
Utah	5	8	47	380	695	-	0	2	16	11	-	0	1	1	-						
Wyo.	-	0	4	22	75	-	0	4	18	8	-	0	2	12	7						
PACIFIC	20	11	547	579	1,725	2	4	10	204	232	-	0	3	8	2						
Alaska	-	0	8	50	89	-	0	6	39	16	N	0	0	N	N						
Calif.	-	3	167	157	1,453	2	3	8	154	191	-	0	3	6	-						
Hawaii	-	0	1	-	85	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	2	14	112	98	-	0	3	11	25	-	0	1	2	2						
Wash.	20	2	377	260	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	0	1	-	63	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	3	-	0	5	37	75	N	0	0	N	N						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


