
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending May 3, 2008 (WEEK 18)*

column labels in same order that data fields appears in each record below:
Reporting Area
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2008
Pertussis cummulative for 2007
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2008
Rabies, animal cummulative for 2007
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2008
Rocky Mountain Spotted Fever cummulative for 2007

tab delimited data:
test
UNITED STATES	38	157	965	1,966	3,147	83	100	172	1,242	1,844	4	32	147	71	239						
Ark.	-	1	17	20	37	7	1	3	22	9	-	0	15	1	-						
La.	-	0	2	2	9	-	0	0	-	-	-	0	2	2	1						
Okla.	2	0	26	4	1	2	0	22	13	18	1	0	20	3	-						
Tex.	-	15	134	35	182	-	13	34	-	368	-	1	7	5	6						
MOUNTAIN	-	19	37	239	445	-	2	8	15	3	1	0	4	3	5						
Ariz.	-	2	8	37	124	N	0	0	N	N	1	0	1	2	1						
Colo.	-	5	13	31	108	-	0	0	-	-	-	0	2	-	-						
Idaho	-	0	4	9	16	-	0	4	-	-	-	0	1	-	1						
Mont.	-	1	11	56	21	-	0	3	-	-	-	0	1	-	-						
Nev.	-	0	7	12	14	-	0	2	-	-	-	0	0	-	-						
N. Mex.	-	1	7	3	19	-	0	2	11	1	-	0	1	1	1						
Utah	-	5	27	89	128	-	0	2	-	1	-	0	0	-	-						
Wyo.	-	0	2	2	15	-	0	4	4	1	-	0	2	-	2						
PACIFIC	11	12	516	225	237	2	4	10	45	69	-	0	2	1	1						
Alaska	3	1	6	26	11	-	0	3	9	27	N	0	0	N	N						
Calif.	-	8	32	75	182	2	3	8	35	42	-	0	2	1	1						
Hawaii	-	0	2	3	9	-	0	0	-	-	N	0	0	N	N						
Oreg.	-	2	14	39	35	-	0	3	1	-	-	0	1	-	-						
Wash.	8	0	482	82	-	-	0	0	-	-	N	0	0	N	N						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	N	0	0	N	N						
P.R.	-	0	0	-	-	3	1	5	21	18	N	0	0	N	N						
V.I.	-	0	0	-	-	N	0	0	N	N	N	0	0	N	N						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


