
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending February 14, 2009 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	59	52	105	362	491	13	8	23	43	51	66	242	433	1,008	1,292						
Ky.	2	1	6	14	10	-	0	2	3	1	1	1	10	8	7						
Miss.	-	0	2	-	-	-	0	1	-	-	-	3	18	15	13						
Tenn.	-	3	18	16	46	-	0	3	1	2	5	8	19	53	44						
W.S. CENTRAL	1	2	7	11	15	1	0	2	2	3	3	43	75	149	220						
Ark.	-	0	4	6	1	-	0	1	1	-	-	3	35	30	8						
La.	1	1	6	5	14	1	0	1	1	3	3	10	33	12	46						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	7	4	17						
Tex.	-	0	0	-	-	-	0	0	-	-	-	26	46	103	149						
MOUNTAIN	-	1	11	4	11	-	0	4	1	3	3	9	25	16	67						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	4	13	2	32						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	2	15						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	-	-						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	N	0	1	N	N	N	0	0	N	N	3	1	6	10	15						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	2	5						
Utah	-	1	10	1	11	-	0	4	1	3	-	0	18	-	-						
Wyo.	-	0	2	3	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	3	44	73	144	312						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	1	40	67	129	274						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	4	4						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	3	3	2						
Wash.	N	0	0	N	N	N	0	0	N	N	2	3	9	8	32						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	6	3	11	18	11						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


