
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 29, 2011 (WEEK 43)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2010
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2010

tab delimited data:
test
UNITED STATES	6	6	109	619	591	7	15	53	609	1,572	-	2	13	93	82						
W. Va.	-	0	1	-	2	-	0	0	-	-	-	0	1	1	-						
E.S. CENTRAL	1	0	8	67	86	-	0	2	15	19	-	0	3	12	8						
Ala.	-	0	2	4	10	-	0	1	4	7	N	0	0	N	N						
Ky.	-	0	3	10	16	-	0	0	-	-	-	0	0	-	1						
Miss.	-	0	1	3	3	-	0	1	1	2	-	0	0	-	1						
Tenn.	1	0	5	50	57	-	0	2	10	10	-	0	3	12	6						
W.S. CENTRAL	-	0	87	101	22	1	0	9	7	3	-	0	0	-	1						
Ark.	-	0	12	43	4	-	0	2	5	-	-	0	0	-	-						
La.	-	0	0	-	1	-	0	0	-	-	-	0	0	-	-						
Okla.	-	0	82	57	14	1	0	7	2	2	-	0	0	-	-						
Tex.	-	0	1	1	3	-	0	1	-	1	-	0	0	-	1						
MOUNTAIN	-	0	0	-	-	-	0	0	-	-	-	0	1	4	-						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	0	1	3	-						
Colo.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Idaho	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Mont.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Nev.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
N. Mex.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Utah	-	0	0	-	-	-	0	0	-	-	-	0	1	1	-						
Wyo.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	-	0	1	-	1	-	0	1	3	-	-	0	1	2	2						
Alaska	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Calif.	-	0	1	-	1	-	0	0	-	-	-	0	1	2	2						
Hawaii	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Oreg.	-	0	0	-	-	-	0	1	3	-	-	0	0	-	-						
Wash.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
P.R.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Please refer to the MMWR publication for weekly updates to the footnote for this condition.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


