
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 22, 2008 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2008
Syphillis, primary & secondary cummulative for 2007

tab delimited data:
test
UNITED STATES	54	43	97	724	812	6	8	23	107	158	100	221	286	2,155	2,197						
Ark.	-	0	1	3	1	-	0	1	2	-	6	2	10	22	26						
La.	-	1	4	14	25	-	0	2	2	2	2	11	22	77	77						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	5	16	19						
Tex.	-	0	0	-	-	-	0	0	-	-	19	26	46	334	232						
MOUNTAIN	-	1	5	3	8	-	0	2	2	6	1	9	28	42	97						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	5	20	2	45						
Colo.	-	0	0	-	-	-	0	0	-	-	1	1	6	17	12						
Idaho	N	0	0	N	N	N	0	0	N	N	-	0	1	1	-						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	3	-	1						
Nev.	N	0	0	N	N	N	0	0	N	N	-	2	6	16	25						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	3	6	11						
Utah	-	0	5	3	6	-	0	2	2	5	-	0	2	-	2						
Wyo.	-	0	2	-	2	-	0	1	-	1	-	0	1	-	1						
PACIFIC	-	0	0	-	-	-	0	1	1	-	7	42	61	339	514						
Alaska	N	0	0	N	N	N	0	0	N	N	-	0	1	-	2						
Calif.	N	0	0	N	N	N	0	0	N	N	2	38	58	289	485						
Hawaii	-	0	0	-	-	-	0	1	1	-	-	0	2	6	1						
Oreg.	N	0	0	N	N	N	0	0	N	N	1	0	2	5	4						
Wash.	N	0	0	N	N	N	0	0	N	N	4	3	13	39	22						
Amer. Samoa	N	0	0	N	N	N	0	1	N	N	-	0	4	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	6	2	10	28	26						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2007 and 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


