
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending December 1, 2012 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	12,434	26,961	29,988	1229659	1299702	163	315	538	14,752	20,855	60	123	279	6,482	8,817						
PACIFIC	1,342	3,966	4,481	183,297	199,727	15	47	136	2,177	5,254	10	11	25	553	603						
Alaska	53	105	150	4,973	5,422	N	0	0	N	N	-	0	1	5	12						
Calif.	798	3,029	3,391	137,980	154,600	15	47	136	2,174	5,242	7	5	14	273	320						
Hawaii	-	123	148	5,630	5,576	N	0	0	N	N	-	0	1	5	1						
Oreg.	178	266	368	12,729	12,730	-	0	1	3	12	3	4	11	205	193						
Wash.	313	463	607	21,985	21,399	-	0	10	-	-	-	1	8	65	77						
Amer. Samoa	-	0	59	59	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	21	22	-	986	-	0	0	-	-	-	0	0	-	-						
P.R.	308	107	289	5,583	5,050	N	0	0	N	N	N	0	0	N	N						
V.I.	-	13	26	326	761	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


