
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending January 7, 2006 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	19	104	160	19	280	29	27	98	29	2	197	770	1,428	197	369						
S. ATLANTIC	8	30	49	8	240	29	13	94	29	-	101	252	516	101	120						
Del.	-	0	0	-	-	-	0	2	-	-	-	2	9	-	1						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	-	-						
Fla.	2	0	2	2	201	-	0	2	-	-	40	99	230	40	43						
Ga.	-	5	9	-	9	-	1	8	-	-	20	31	86	20	24						
Md.	-	6	16	-	7	-	1	7	-	-	4	14	40	4	10						
N.C.	6	9	19	6	11	29	5	87	29	-	37	26	114	37	33						
S.C.	-	0	2	-	-	-	1	6	-	-	-	19	146	-	9						
Va.	-	10	18	-	12	-	1	10	-	-	-	19	66	-	-						
W. Va.	-	0	13	-	-	-	0	2	-	-	-	2	13	-	-						
E.S. CENTRAL	-	2	9	-	1	-	4	25	-	-	7	50	134	7	15						
Ala.	-	1	5	-	1	-	0	9	-	-	6	12	39	6	5						
Ky.	-	0	3	-	-	-	0	1	-	-	1	6	28	1	-						
Miss.	-	0	1	-	-	-	0	2	-	-	-	13	66	-	5						
Tenn.	-	1	3	-	-	-	3	19	-	-	-	14	40	-	5						
W.S. CENTRAL	1	14	42	1	9	-	1	32	-	-	1	55	138	1	15						
Ark.	1	0	3	1	2	-	0	32	-	-	1	12	67	1	-						
La.	-	0	0	-	-	-	0	2	-	-	-	13	42	-	14						
Okla.	-	1	7	-	-	-	0	23	-	-	-	7	26	-	-						
Tex.	-	12	39	-	7	-	0	7	-	-	-	25	82	-	1						
MOUNTAIN	-	5	19	-	3	-	0	8	-	-	1	48	110	1	26						
Ariz.	-	3	11	-	3	-	0	8	-	-	-	13	28	-	15						
Colo.	-	0	2	-	-	-	0	1	-	-	-	10	45	-	7						
Idaho	-	0	12	-	-	-	0	2	-	-	-	2	17	-	-						
Mont.	-	0	3	-	-	-	0	1	-	-	1	2	16	1	-						
Nev.	-	0	2	-	-	-	0	0	-	-	-	2	7	-	-						
N. Mex.	-	0	1	-	-	-	0	1	-	-	-	4	11	-	3						
Utah	-	0	5	-	-	-	0	2	-	-	-	6	31	-	-						
Wyo.	-	0	2	-	-	-	0	1	-	-	-	1	12	-	1						
PACIFIC	-	3	14	-	1	-	0	2	-	-	36	99	188	36	78						
Alaska	-	0	1	-	-	-	0	0	-	-	1	1	5	1	1						
Calif.	-	3	14	-	1	-	0	1	-	-	35	75	148	35	66						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	33	-	6						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	7	23	-	5						
Wash.	U	0	0	U	U	-	0	0	-	-	-	9	31	-	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	-						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	2	4	-	1	N	0	0	N	N	-	8	23	-	4						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


