
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending April 29, 2006 (WEEK 17)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rabies, animal current week
Rabies, animal previous 52 weeks median 
Rabies, animal previous 52 weeks maximum 
Rabies, animal cummulative for 2006
Rabies, animal cummulative for 2005
Rocky Mountain Spotted Fever current week
Rocky Mountain Spotted Fever previous 52 weeks median 
Rocky Mountain Spotted Fever previous 52 weeks maximum 
Rocky Mountain Spotted Fever cummulative for 2006
Rocky Mountain Spotted Fever cummulative for 2005
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2006
Salmonellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	41	96	177	1,353	1,854	4	36	98	310	182	368	855	2,059	7,809	8,212						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	23	52						
N. Mex.	-	0	1	-	1	-	0	1	-	2	-	4	13	40	58						
Utah	-	0	5	-	-	-	0	0	-	-	6	5	30	27	54						
Wyo.	-	0	2	-	9	-	0	1	-	1	-	1	12	21	10						
PACIFIC	4	4	15	47	47	-	0	2	-	1	68	89	294	1,191	1,240						
Alaska	2	0	4	9	1	-	0	0	-	-	-	1	7	29	16						
Calif.	2	3	15	38	46	-	0	1	-	1	59	70	285	885	1,031						
Hawaii	-	0	0	-	-	-	0	0	-	-	3	5	15	71	90						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	8	25	101	103						
Wash.	U	0	0	U	U	N	0	0	N	N	6	0	23	105	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
P.R.	2	2	4	33	28	N	0	0	N	N	3	6	23	19	111						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


