Minn.	-	1	5	2	12	-	0	1	-	-	17	10	31	79	89						
Mo.	-	1	7	2	5	-	1	14	4	4	8	14	40	102	88						
Nebr.	-	0	0	-	-	-	0	2	-	-	-	2	10	27	28						
N. Dak.	-	0	4	2	1	-	0	0	-	-	1	0	5	1	6						
S. Dak.	-	1	6	7	10	-	0	2	-	-	-	2	11	21	27						
S. ATLANTIC	26	33	54	289	528	1	17	94	240	79	72	256	508	1,405	1,343						
Del.	-	0	0	-	-	-	0	2	2	-	-	2	9	12	11						
D.C.	-	0	0	-	-	-	0	1	-	-	-	1	7	13	8						
Fla.	-	0	14	35	201	1	0	3	6	3	37	99	230	597	512						
Ga.	-	4	15	16	60	-	1	9	14	1	9	33	73	231	181						
Md.	-	6	16	44	64	-	2	7	10	4	10	14	39	99	103						
N.C.	9	8	19	55	86	-	5	87	206	65	16	33	114	288	265						
S.C.	-	0	0	-	5	-	1	6	2	5	-	21	146	59	105						
Va.	17	10	26	123	110	-	1	10	-	-	-	20	66	97	141						
W. Va.	-	0	13	16	2	-	0	2	-	1	-	2	13	9	17						
E.S. CENTRAL	2	3	9	36	21	1	5	24	4	4	5	56	134	264	287						
Ala.	2	1	5	13	15	-	0	9	1	1	1	13	39	110	85						
Ky.	-	0	3	4	-	-	0	1	-	-	-	7	26	45	32						
Miss.	-	0	1	-	-	-	0	3	-	-	-	13	66	31	39						
Tenn.	-	1	4	19	6	1	3	18	3	3	4	14	40	78	131						
W.S. CENTRAL	-	13	42	11	178	-	2	33	3	1	41	81	534	514	358						
Ark.	-	0	3	1	10	-	0	32	3	-	37	14	67	182	46						
La.	-	0	0	-	-	-	0	2	-	1	-	15	42	41	88						
Okla.	-	1	7	10	16	-	0	23	-	-	4	7	26	47	40						
Tex.	-	11	39	-	152	-	0	8	-	-	-	44	501	244	184						
MOUNTAIN	-	4	19	15	35	-	0	4	-	15	13	49	112	288	323						
Ariz.	-	2	11	15	29	-	0	4	-	12	-	13	28	63	107						
Colo.	-	0	2	-	-	-	0	1	-	-	5	10	45	94	77						
Idaho	-	0	12	-	-	-	0	2	-	-	1	2	17	15	17						
Mont.	-	0	3	-	-	-	0	1	-	-	4	2	16	18	18						
Nev.	-	0	2	-	-	-	0	0	-	-	-	3	8	16	35						
N. Mex.	-	0	1	-	1	-	0	1	-	-	-	4	14	24	29						
Utah	-	0	5	-	-	-	0	1	-	2	3	6	31	46	33						
Wyo.	-	0	2	-	5	-	0	1	-	1	-	1	12	12	7						
PACIFIC	-	4	15	14	18	-	0	2	-	2	26	99	407	711	904						
Alaska	-	0	3	5	1	-	0	0	-	-	-	1	5	18	11						
Calif.	-	3	15	9	17	-	0	1	-	2	19	76	282	552	713						
Hawaii	-	0	0	-	-	-	0	0	-	-	-	5	15	38	69						
Oreg.	-	0	1	-	-	-	0	1	-	-	-	8	25	52	56						
Wash.	U	0	0	U	U	N	0	0	N	N	7	8	116	51	55						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	2	U	1						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	2	4	21	16	N	0	0	N	N	-	7	23	7	68						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


